,capacity,countFull,countEmpty
0,0.000000,0,0
1,0.000000,0,13
2,0.000000,0,21
3,0.000000,0,24
4,0.000000,0,26
5,0.000000,0,31
6,0.000000,0,34
7,0.000000,0,36
8,0.000000,0,39
9,0.000000,0,42
10,0.000000,0,46
11,0.000000,0,51
12,0.000000,0,52
13,0.000000,0,56
14,0.000000,0,60
15,0.000000,0,67
16,0.000000,0,71
17,0.000000,0,74
18,0.000000,0,78
19,0.000000,0,81
20,0.000000,0,86
21,0.000000,0,90
22,0.000000,0,93
23,0.000000,0,96
24,0.000000,0,102
25,0.000000,0,107
26,0.000000,0,110
27,0.000000,0,115
28,0.000000,0,119
29,0.000000,0,127
30,0.000000,0,129
31,0.000000,0,132
32,0.000000,0,139
33,0.000000,0,144
34,0.000000,0,145
35,0.000000,0,149
36,0.000000,0,157
37,0.000000,0,160
38,0.000000,0,162
39,0.000000,0,165
40,0.000000,0,168
41,0.000000,0,175
42,0.000000,0,180
43,0.000000,0,181
44,0.000000,0,187
45,0.000000,0,191
46,0.000000,0,198
47,0.000000,0,200
48,0.000000,0,202
49,0.000000,0,207
50,0.000000,0,209
51,0.000000,0,216
52,0.000000,0,219
53,0.000000,0,220
54,0.000000,0,225
55,0.000000,0,230
56,0.000000,0,233
57,0.000000,0,238
58,0.000000,0,242
59,0.000000,0,247
